areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,2021-11-15,827,591507
overview,United Kingdom,K02000001,2021-11-14,799,590680
overview,United Kingdom,K02000001,2021-11-13,774,589881
overview,United Kingdom,K02000001,2021-11-12,876,589107
overview,United Kingdom,K02000001,2021-11-11,949,588231
overview,United Kingdom,K02000001,2021-11-10,978,587282
overview,United Kingdom,K02000001,2021-11-09,980,586304
overview,United Kingdom,K02000001,2021-11-08,1006,585324
overview,United Kingdom,K02000001,2021-11-07,878,584318
overview,United Kingdom,K02000001,2021-11-06,822,583440
overview,United Kingdom,K02000001,2021-11-05,848,582618
overview,United Kingdom,K02000001,2021-11-04,872,581770
overview,United Kingdom,K02000001,2021-11-03,978,580898
overview,United Kingdom,K02000001,2021-11-02,1070,579920
overview,United Kingdom,K02000001,2021-11-01,1088,578850
overview,United Kingdom,K02000001,2021-10-31,1010,577762
overview,United Kingdom,K02000001,2021-10-30,898,576752
overview,United Kingdom,K02000001,2021-10-29,1025,575854
overview,United Kingdom,K02000001,2021-10-28,1073,574829
overview,United Kingdom,K02000001,2021-10-27,1146,573756
overview,United Kingdom,K02000001,2021-10-26,1108,572610
overview,United Kingdom,K02000001,2021-10-25,1058,571502
overview,United Kingdom,K02000001,2021-10-24,968,570444
overview,United Kingdom,K02000001,2021-10-23,908,569476
overview,United Kingdom,K02000001,2021-10-22,933,568568
overview,United Kingdom,K02000001,2021-10-21,978,567635
overview,United Kingdom,K02000001,2021-10-20,1104,566657
overview,United Kingdom,K02000001,2021-10-19,1107,565553
overview,United Kingdom,K02000001,2021-10-18,1083,564446
overview,United Kingdom,K02000001,2021-10-17,966,563363
overview,United Kingdom,K02000001,2021-10-16,883,562397
overview,United Kingdom,K02000001,2021-10-15,944,561514
overview,United Kingdom,K02000001,2021-10-14,911,560570
overview,United Kingdom,K02000001,2021-10-13,923,559659
overview,United Kingdom,K02000001,2021-10-12,937,558736
overview,United Kingdom,K02000001,2021-10-11,845,557799
overview,United Kingdom,K02000001,2021-10-10,731,556954
overview,United Kingdom,K02000001,2021-10-09,765,556223
overview,United Kingdom,K02000001,2021-10-08,786,555458
overview,United Kingdom,K02000001,2021-10-07,818,554672
overview,United Kingdom,K02000001,2021-10-06,780,553854
overview,United Kingdom,K02000001,2021-10-05,836,553074
overview,United Kingdom,K02000001,2021-10-04,807,552238
overview,United Kingdom,K02000001,2021-10-03,718,551431
overview,United Kingdom,K02000001,2021-10-02,696,550713
overview,United Kingdom,K02000001,2021-10-01,693,550017
overview,United Kingdom,K02000001,2021-09-30,703,549324
overview,United Kingdom,K02000001,2021-09-29,805,548621
overview,United Kingdom,K02000001,2021-09-28,777,547816
overview,United Kingdom,K02000001,2021-09-27,781,547039
overview,United Kingdom,K02000001,2021-09-26,668,546258
overview,United Kingdom,K02000001,2021-09-25,675,545590
overview,United Kingdom,K02000001,2021-09-24,726,544915
overview,United Kingdom,K02000001,2021-09-23,776,544189
overview,United Kingdom,K02000001,2021-09-22,752,543413
overview,United Kingdom,K02000001,2021-09-21,802,542661
overview,United Kingdom,K02000001,2021-09-20,811,541859
overview,United Kingdom,K02000001,2021-09-19,731,541048
overview,United Kingdom,K02000001,2021-09-18,759,540317
overview,United Kingdom,K02000001,2021-09-17,752,539558
overview,United Kingdom,K02000001,2021-09-16,891,538806
overview,United Kingdom,K02000001,2021-09-15,949,537915
overview,United Kingdom,K02000001,2021-09-14,949,536966
overview,United Kingdom,K02000001,2021-09-13,941,536017
overview,United Kingdom,K02000001,2021-09-12,864,535076
overview,United Kingdom,K02000001,2021-09-11,850,534212
overview,United Kingdom,K02000001,2021-09-10,921,533362
overview,United Kingdom,K02000001,2021-09-09,1032,532441
overview,United Kingdom,K02000001,2021-09-08,1162,531409
overview,United Kingdom,K02000001,2021-09-07,1103,530247
overview,United Kingdom,K02000001,2021-09-06,1076,529144
overview,United Kingdom,K02000001,2021-09-05,878,528068
overview,United Kingdom,K02000001,2021-09-04,951,527190
overview,United Kingdom,K02000001,2021-09-03,927,526239
overview,United Kingdom,K02000001,2021-09-02,1001,525312
overview,United Kingdom,K02000001,2021-09-01,1081,524311
overview,United Kingdom,K02000001,2021-08-31,1000,523230
overview,United Kingdom,K02000001,2021-08-30,1002,522230
overview,United Kingdom,K02000001,2021-08-29,855,521228
overview,United Kingdom,K02000001,2021-08-28,862,520373
overview,United Kingdom,K02000001,2021-08-27,941,519511
overview,United Kingdom,K02000001,2021-08-26,953,518570
overview,United Kingdom,K02000001,2021-08-25,1032,517617
overview,United Kingdom,K02000001,2021-08-24,999,516585
overview,United Kingdom,K02000001,2021-08-23,967,515586
overview,United Kingdom,K02000001,2021-08-22,832,514619
overview,United Kingdom,K02000001,2021-08-21,872,513787
overview,United Kingdom,K02000001,2021-08-20,870,512915
overview,United Kingdom,K02000001,2021-08-19,946,512045
overview,United Kingdom,K02000001,2021-08-18,911,511099
